English,Maths,Science,SST,Hindi,GK,study_hours,distraction_time,sleep_time,grade,pass_fail
6,60,99,64,5,23,1.3,1.5,6.5,F,Fail
44,62,28,100,95,24,7.0,1.6,6.2,D,Fail
95,11,3,89,66,16,3.8,0.2,6.2,D,Fail
83,56,97,27,98,15,3.4,0.6,5.7,C,Fail
37,69,37,53,59,76,6.4,4.7,4.7,D,Pass
52,32,27,2,81,25,6.3,2.4,7.2,F,Fail
91,88,89,46,1,41,2.3,1.1,6.7,D,Fail
43,86,96,1,90,58,2.7,2.9,6.3,C,Fail
69,22,41,36,71,5,3.3,0.3,7.7,F,Fail
16,37,16,36,22,48,7.7,3.7,7.4,F,Fail
85,62,6,21,84,5,4.7,2.6,4.4,F,Fail
84,93,93,41,41,95,5.4,2.8,9.3,C,Pass
70,2,99,48,66,54,2.6,3.6,7.2,D,Fail
30,62,65,30,46,21,3.3,4.3,7.6,F,Fail
88,57,60,45,0,95,2.6,4.2,7.7,D,Fail
76,38,65,31,95,57,5.0,0.0,7.9,C,Fail
49,37,2,4,23,53,7.7,0.3,6.6,F,Fail
99,91,47,48,33,79,7.8,1.9,5.9,C,Pass
33,50,92,67,13,68,3.5,3.2,9.5,D,Fail
58,10,19,54,35,81,6.3,2.6,7.7,F,Fail
0,64,0,84,59,24,7.9,1.8,8.9,F,Fail
31,32,71,25,41,49,1.4,3.4,4.4,F,Fail
69,30,22,75,53,27,2.5,0.4,7.7,D,Fail
10,43,100,58,58,37,3.9,4.5,6.2,D,Fail
11,9,58,4,32,68,6.3,4.2,7.4,F,Fail
92,5,52,81,31,41,6.7,4.3,7.3,D,Fail
25,91,26,82,56,26,3.7,2.4,9.1,D,Fail
43,92,78,29,39,64,6.4,1.6,6.8,D,Fail
31,9,90,50,7,50,3.8,1.1,6.0,F,Fail
55,35,88,83,60,61,7.6,1.7,5.8,C,Pass
63,59,56,94,69,98,3.6,2.5,7.2,C,Pass
19,53,0,89,97,9,5.6,1.5,9.8,F,Fail
57,90,94,42,9,30,5.5,4.7,4.7,D,Fail
33,16,20,95,66,57,1.1,0.7,9.1,D,Fail
29,8,31,10,85,33,7.8,2.8,7.4,F,Fail
81,11,3,42,26,50,1.4,2.2,8.7,F,Fail
88,67,95,43,14,89,3.9,4.2,6.9,C,Fail
26,57,89,71,20,20,2.9,1.1,8.9,D,Fail
91,5,86,99,57,16,2.1,4.3,9.5,D,Fail
75,69,72,51,36,2,1.9,1.9,9.0,D,Fail
41,42,8,13,100,90,5.4,5.0,7.2,D,Fail
84,0,74,64,45,58,5.1,4.4,5.6,D,Fail
71,46,89,39,41,50,2.6,2.0,7.6,D,Pass
56,37,71,95,7,73,5.5,0.7,8.3,D,Fail
93,86,4,84,69,80,2.3,2.2,6.1,C,Fail
77,97,89,82,25,2,6.8,0.8,4.2,C,Fail
37,83,69,72,51,30,5.9,3.2,9.3,D,Fail
73,17,14,56,96,4,6.5,4.9,6.2,F,Fail
14,16,50,44,62,27,3.7,2.0,8.4,F,Fail
81,16,67,6,88,100,1.6,0.1,8.3,D,Fail
72,22,94,31,30,16,5.2,2.1,6.2,F,Fail
63,52,50,36,89,5,3.4,2.8,9.6,D,Fail
62,65,4,74,10,87,4.9,3.1,9.4,D,Fail
98,84,68,1,39,36,6.6,4.9,8.8,D,Fail
74,72,69,33,57,36,6.4,1.2,9.4,D,Pass
3,32,42,8,97,50,5.9,1.9,4.0,F,Fail
40,43,34,22,57,47,5.8,2.2,8.8,F,Fail
38,27,63,61,82,61,5.6,1.6,4.2,D,Fail
49,35,25,32,99,67,6.4,4.5,5.4,D,Fail
54,42,99,20,21,8,2.3,3.2,8.5,F,Fail
4,40,62,21,67,47,7.2,3.8,6.2,F,Fail
85,64,78,63,87,67,3.2,4.9,6.8,C,Pass
44,51,73,64,1,48,6.3,0.0,9.8,D,Fail
23,93,29,83,41,70,2.9,0.5,8.8,D,Fail
59,29,11,48,94,81,1.1,2.0,7.9,D,Fail
97,79,53,34,51,32,5.1,3.8,6.5,D,Fail
61,60,25,36,29,94,2.1,2.4,7.2,D,Fail
12,62,81,89,24,43,4.7,2.6,9.2,D,Fail
65,67,11,74,67,42,3.4,0.1,5.5,D,Fail
30,85,52,5,32,28,3.9,2.4,6.8,F,Fail
20,99,54,57,63,85,5.9,0.0,6.0,C,Fail
10,46,30,76,17,21,4.5,4.5,5.9,F,Fail
12,57,89,49,10,12,4.9,2.0,9.8,F,Fail
26,35,31,40,14,30,7.6,2.5,6.5,F,Fail
21,30,99,72,45,66,1.4,2.7,9.1,D,Fail
56,8,4,78,8,44,2.8,1.5,8.0,F,Fail
41,21,59,85,36,38,2.8,0.8,8.2,D,Fail
27,76,14,59,59,5,2.1,1.7,8.9,F,Fail
96,1,54,14,63,99,6.0,0.8,9.5,D,Fail
23,73,29,66,50,59,6.5,2.9,6.3,D,Fail
77,10,71,100,71,75,4.7,4.1,8.5,C,Fail
6,70,93,81,87,5,6.7,0.9,4.5,D,Fail
50,58,5,89,50,37,1.3,2.2,6.3,D,Fail
47,90,13,99,58,11,2.5,0.4,7.7,D,Fail
8,87,94,24,16,41,4.0,1.7,4.7,D,Fail
13,38,15,17,94,74,6.6,2.3,4.4,F,Fail
3,83,94,19,10,64,2.5,0.6,9.3,D,Fail
99,17,46,30,98,38,4.8,2.4,9.5,D,Fail
85,64,12,54,87,84,3.2,1.4,6.4,C,Fail
58,76,53,43,15,5,7.6,4.6,9.3,F,Fail
99,100,40,34,9,80,5.0,0.1,9.8,C,Fail
17,82,78,85,38,41,6.3,2.7,7.9,D,Fail
95,41,88,86,4,49,1.6,0.8,6.3,C,Fail
56,36,6,4,78,50,1.5,2.0,4.0,F,Fail
21,97,98,76,10,59,6.2,2.5,9.4,C,Fail
45,87,42,21,2,13,3.1,1.6,5.1,F,Fail
45,41,5,40,24,97,3.1,3.6,5.0,F,Fail
45,85,47,62,38,9,2.6,3.0,4.6,D,Fail
77,35,26,72,54,69,5.4,3.2,9.7,D,Fail
35,84,26,40,27,15,5.3,1.9,9.9,F,Fail
56,84,32,22,62,69,5.8,4.8,5.3,D,Fail
58,24,16,38,76,91,2.4,2.6,6.1,D,Fail
96,80,56,43,35,98,5.0,1.7,5.1,C,Pass
95,25,10,51,24,30,6.5,1.3,4.9,F,Fail
39,45,53,40,88,80,7.0,1.5,6.7,D,Pass
65,80,29,9,98,60,3.8,2.6,9.0,D,Fail
81,3,54,53,90,88,7.3,0.8,6.9,C,Fail
24,80,58,56,53,43,2.5,0.9,5.5,D,Fail
80,54,60,94,78,76,4.5,3.0,7.7,C,Pass
70,9,56,3,42,99,1.2,3.8,4.9,D,Fail
50,55,42,23,95,33,5.4,4.5,8.3,D,Fail
75,16,81,13,80,78,4.6,4.1,7.0,D,Fail
33,97,15,33,70,32,4.9,4.9,8.3,D,Fail
67,60,74,19,10,78,3.6,3.3,7.5,D,Fail
75,27,47,34,7,90,5.6,3.4,6.9,D,Fail
85,63,64,13,24,99,4.3,2.6,5.2,D,Fail
18,96,53,93,75,9,5.2,2.4,8.4,D,Fail
47,10,33,35,29,98,7.5,2.3,5.6,F,Fail
32,95,79,74,21,35,3.6,3.1,8.6,D,Fail
94,92,4,53,37,61,1.3,3.9,7.2,D,Fail
83,28,43,92,26,54,2.6,0.9,8.7,D,Fail
41,14,78,17,49,1,8.0,1.0,4.6,F,Fail
88,74,49,11,12,8,7.1,4.0,5.5,F,Fail
42,73,22,78,44,22,2.7,4.9,4.9,D,Fail
50,31,37,55,68,16,3.5,3.8,5.9,F,Fail
76,49,0,49,18,97,2.4,3.6,4.5,D,Fail
27,33,38,82,55,51,7.7,2.0,6.2,D,Fail
16,70,25,17,45,69,3.5,3.1,9.3,F,Fail
59,75,62,99,51,47,7.8,3.5,6.0,C,Pass
28,9,38,54,27,17,7.3,2.7,8.2,F,Fail
80,99,99,45,59,8,7.8,2.2,9.7,C,Fail
50,7,69,58,60,57,7.3,1.9,7.5,D,Fail
48,82,16,53,43,31,6.0,2.0,4.6,D,Fail
11,87,97,7,20,47,5.1,0.2,4.6,F,Fail
3,89,78,99,95,61,6.4,4.4,5.3,C,Fail
98,54,27,100,46,8,7.0,4.5,9.1,D,Fail
68,73,27,78,13,45,5.8,4.0,8.0,D,Fail
80,29,80,98,64,57,5.9,4.8,8.2,C,Fail
13,96,16,30,9,69,4.1,1.6,5.6,F,Fail
33,17,87,62,48,55,6.7,1.5,5.3,D,Fail
18,22,46,78,65,98,7.6,4.1,4.9,D,Fail
14,15,96,46,62,11,7.9,3.8,7.4,F,Fail
48,2,68,59,65,86,4.9,1.3,5.4,D,Fail
68,46,75,95,41,30,6.8,3.5,8.0,D,Fail
97,48,86,37,52,27,2.2,1.8,7.5,D,Fail
44,17,49,88,48,21,4.3,4.4,4.5,F,Fail
70,60,75,35,23,31,7.6,1.0,4.2,D,Fail
74,81,4,15,10,34,5.6,0.8,8.4,F,Fail
80,9,81,7,25,2,2.7,0.8,6.1,F,Fail
98,16,72,35,85,94,4.3,1.9,6.2,C,Fail
1,84,33,26,36,70,7.8,2.2,9.7,F,Fail
88,64,78,95,77,60,3.4,4.8,4.5,B,Pass
84,49,11,78,14,16,7.0,2.4,7.7,F,Fail
54,58,4,29,3,14,6.2,3.3,9.0,F,Fail
59,23,91,21,43,31,5.1,4.9,4.4,F,Fail
69,31,1,87,58,90,6.8,2.5,6.1,D,Fail
10,77,79,9,83,79,2.1,1.1,7.8,D,Fail
52,27,17,25,6,44,7.2,4.8,4.4,F,Fail
34,51,20,27,95,43,5.6,4.8,6.0,D,Fail
14,54,42,49,5,32,4.1,4.5,9.2,F,Fail
30,73,52,33,40,9,6.0,4.6,8.8,F,Fail
32,6,3,38,47,73,5.7,1.8,8.5,F,Fail
99,26,85,85,16,97,2.3,1.7,4.7,C,Fail
52,99,4,68,46,73,4.8,4.2,5.8,D,Fail
27,42,76,46,48,85,2.7,2.7,8.3,D,Fail
92,68,70,21,58,46,6.0,0.4,7.4,D,Fail
96,0,53,45,40,40,2.1,4.7,7.3,D,Fail
51,95,88,97,60,96,1.2,5.0,7.3,B,Pass
60,43,61,43,47,73,6.7,2.8,7.3,D,Pass
60,45,53,33,83,6,5.3,1.6,7.4,D,Fail
75,4,75,92,34,83,3.1,2.2,4.4,C,Fail
41,60,73,76,47,61,5.7,3.3,4.1,D,Pass
27,100,76,2,36,47,4.0,1.4,7.2,D,Fail
86,39,49,72,28,50,3.3,0.2,9.0,D,Fail
30,91,51,38,59,93,6.1,4.6,8.4,C,Fail
13,89,83,41,50,23,4.0,4.5,7.9,D,Fail
83,60,93,62,25,94,2.9,1.1,7.2,C,Fail
5,51,0,51,23,33,5.9,1.6,6.0,F,Fail
19,62,79,62,68,87,1.4,1.9,5.2,C,Fail
100,96,83,21,60,20,6.0,3.5,9.8,C,Fail
59,69,31,79,91,79,3.0,1.5,4.2,C,Fail
29,21,18,30,19,18,5.3,3.9,6.0,F,Fail
53,26,78,11,77,70,1.5,2.1,4.2,D,Fail
81,29,29,24,87,73,2.2,2.8,6.1,D,Fail
100,70,70,26,9,96,7.7,2.0,6.4,C,Fail
47,76,1,82,50,60,5.9,1.9,6.9,D,Fail
50,25,69,19,22,53,1.0,4.7,5.8,F,Fail
56,49,48,87,20,35,4.2,0.7,6.4,D,Fail
5,77,51,1,88,94,7.2,1.0,5.0,D,Fail
91,75,34,85,38,0,4.6,2.3,8.4,D,Fail
57,0,12,45,46,80,5.4,0.4,8.2,F,Fail
2,49,25,30,99,61,5.3,1.8,4.2,F,Fail
80,37,29,65,7,13,4.9,0.4,9.7,F,Fail
62,78,65,100,95,39,5.3,3.6,8.6,C,Pass
15,12,85,22,35,42,4.9,2.6,5.5,F,Fail
29,56,29,70,9,98,5.2,0.0,8.7,D,Fail
2,88,33,85,37,13,3.3,2.5,8.4,F,Fail
52,2,40,7,89,95,3.7,2.4,9.0,D,Fail
67,91,9,74,49,22,6.6,3.2,4.4,D,Fail
21,90,15,79,2,51,4.7,1.8,5.5,F,Fail
45,47,26,14,6,56,2.6,1.9,6.2,F,Fail
75,29,54,83,83,53,4.2,2.2,7.0,C,Fail
93,71,1,13,9,49,2.7,4.4,7.4,F,Fail
30,100,83,22,95,41,5.2,3.8,6.6,C,Fail
80,14,89,43,91,41,3.1,0.3,8.6,D,Fail
73,74,37,96,69,63,6.0,4.7,7.9,C,Pass
65,59,0,61,86,88,5.1,0.7,8.2,D,Fail
92,9,60,58,58,68,1.2,2.5,8.8,D,Fail
5,0,55,96,74,87,6.1,3.1,5.0,D,Fail
15,55,94,5,29,62,2.2,1.2,4.1,F,Fail
45,20,98,37,68,62,2.8,2.2,8.0,D,Fail
43,51,8,98,64,9,6.5,3.6,7.9,D,Fail
98,80,12,5,57,100,2.6,4.0,7.8,D,Fail
5,73,96,93,20,41,2.0,0.4,4.3,D,Fail
92,48,99,33,36,41,2.7,1.8,8.9,D,Pass
3,13,17,33,0,52,1.8,0.5,6.0,F,Fail
27,91,85,69,88,41,2.0,3.8,5.3,C,Fail
1,6,95,48,82,75,6.3,4.3,9.3,D,Fail
59,84,85,48,1,16,5.5,0.8,9.9,D,Fail
88,86,97,31,50,87,4.5,0.3,4.9,C,Fail
88,91,75,25,47,7,3.4,0.8,5.4,D,Fail
40,18,47,52,54,60,3.5,3.2,4.8,D,Fail
95,17,11,71,96,45,1.2,0.7,4.2,D,Fail
4,97,18,70,38,41,3.0,4.3,9.9,F,Fail
91,19,69,7,95,18,6.2,4.8,6.9,D,Fail
80,17,11,40,86,47,1.8,0.7,7.1,D,Fail
85,38,32,23,60,54,2.1,2.7,4.6,D,Fail
71,73,0,84,24,95,7.9,1.5,7.9,D,Fail
50,72,83,47,83,39,3.6,4.8,6.0,C,Pass
14,69,60,55,9,45,7.2,2.6,4.8,F,Fail
91,2,65,52,77,51,3.3,3.7,7.7,D,Fail
14,83,85,33,49,32,8.0,1.8,6.6,D,Fail
32,8,56,39,51,81,1.1,4.6,4.3,F,Fail
2,14,96,81,22,2,7.5,1.2,5.6,F,Fail
57,95,56,6,38,77,5.1,2.6,6.9,D,Fail
79,40,33,45,87,28,1.5,2.7,8.0,D,Fail
49,4,12,98,48,88,4.3,2.8,7.6,D,Fail
83,33,70,46,59,73,2.3,3.7,9.7,C,Pass
94,49,3,40,58,59,4.3,4.5,9.6,D,Fail
24,86,78,32,18,56,3.1,1.2,7.6,D,Fail
95,21,42,31,12,37,6.0,4.0,7.0,F,Fail
96,90,4,100,70,47,1.8,2.0,8.4,C,Fail
41,51,10,25,20,65,6.8,2.7,7.2,F,Fail
79,56,4,13,23,67,2.1,4.4,4.2,F,Fail
2,8,81,99,82,23,7.9,2.9,4.7,D,Fail
34,73,11,17,77,9,1.4,0.3,8.4,F,Fail
71,98,81,15,84,14,3.2,1.3,7.9,C,Fail
6,26,88,85,12,16,6.6,1.1,5.0,F,Fail
32,3,91,25,67,15,6.7,4.1,9.1,F,Fail
34,24,71,80,60,17,6.5,1.2,8.4,D,Fail
96,86,62,11,10,12,5.4,1.8,8.4,D,Fail
88,44,73,80,66,21,2.7,1.1,7.7,C,Fail
17,76,69,73,100,92,2.4,1.3,8.2,C,Fail
93,54,83,57,36,15,6.2,2.5,6.8,D,Fail
36,52,86,15,17,18,1.1,0.9,6.9,F,Fail
81,18,37,36,90,77,1.7,4.8,9.1,D,Fail
82,26,47,93,6,26,3.1,1.2,7.4,D,Fail
17,32,32,95,24,13,1.5,2.0,4.3,F,Fail
9,34,98,22,88,64,2.2,4.3,7.2,D,Fail
16,56,74,76,88,19,5.8,2.7,8.9,D,Fail
64,51,79,91,20,29,7.1,1.1,6.9,D,Fail
2,57,32,74,44,68,3.5,4.4,9.7,D,Fail
51,63,39,91,12,89,1.4,0.1,9.3,D,Fail
83,25,95,58,48,52,4.3,0.8,7.1,C,Fail
35,9,5,6,30,90,7.8,3.7,4.1,F,Fail
0,44,53,49,78,6,6.1,4.3,7.2,F,Fail
77,67,35,66,4,24,7.2,1.3,4.6,D,Fail
59,9,49,38,36,62,3.4,2.6,9.1,F,Fail
32,74,44,43,0,52,5.2,0.9,6.9,F,Fail
13,22,53,7,53,35,6.6,3.1,8.7,F,Fail
49,37,29,80,72,91,7.6,3.6,8.3,D,Fail
47,43,59,59,4,68,3.1,1.5,6.9,D,Fail
58,8,94,21,44,72,1.1,3.8,8.4,D,Fail
82,11,35,9,15,91,6.5,2.5,9.7,F,Fail
94,45,26,44,84,36,6.8,1.4,5.1,D,Fail
20,16,54,87,94,5,1.1,1.8,8.5,D,Fail
95,0,48,34,82,52,6.8,3.6,9.1,D,Fail
42,19,32,92,15,77,4.3,2.0,8.3,D,Fail
53,18,24,66,99,52,7.4,1.3,7.3,D,Fail
90,41,1,5,45,65,7.7,2.3,5.2,F,Fail
73,32,61,11,95,48,1.5,1.3,7.6,D,Fail
31,48,96,59,45,67,6.7,1.3,7.1,D,Fail
99,17,86,98,96,50,2.5,0.9,6.1,C,Fail
4,47,90,39,12,25,7.4,2.2,5.2,F,Fail
56,21,15,76,75,81,3.7,2.9,10.0,D,Fail
2,92,55,71,10,75,5.3,3.1,9.3,D,Fail
15,80,85,70,9,92,1.6,5.0,7.3,D,Fail
77,88,21,51,49,46,5.5,4.3,10.0,D,Fail
75,82,18,51,33,95,5.0,3.2,6.4,D,Fail
75,6,40,1,88,9,3.0,3.7,7.5,F,Fail
73,72,19,100,34,36,6.5,3.8,8.7,D,Fail
79,27,69,31,91,10,6.5,3.8,6.1,D,Fail
58,27,87,78,32,46,5.8,0.5,9.2,D,Fail
51,46,73,50,44,93,7.2,0.4,6.0,D,Pass
12,53,24,20,0,57,1.8,4.7,5.8,F,Fail
51,22,20,5,19,75,5.9,2.1,7.1,F,Fail
95,74,87,55,78,34,4.9,3.3,6.2,C,Pass
30,80,49,86,62,46,4.4,0.7,8.9,D,Fail
25,33,18,77,71,0,5.7,3.8,8.3,F,Fail
93,68,66,31,16,60,2.3,0.5,8.5,D,Fail
18,86,16,12,90,0,2.8,3.8,7.2,F,Fail
65,67,15,3,56,72,6.3,1.6,9.6,D,Fail
1,66,86,25,6,99,4.0,1.8,7.2,D,Fail
22,24,89,91,91,84,3.1,0.2,4.9,C,Fail
80,98,68,79,22,8,2.3,2.2,8.8,D,Fail
87,23,18,38,60,24,4.5,0.8,5.0,F,Fail
31,10,68,32,18,15,3.6,3.5,8.4,F,Fail
68,86,54,24,92,76,5.8,4.1,7.9,C,Fail
20,28,50,22,32,7,7.8,1.8,4.8,F,Fail
62,13,87,61,74,45,4.5,2.7,4.1,D,Fail
93,100,6,80,83,53,7.3,1.5,4.6,C,Fail
26,82,57,92,100,10,5.7,4.7,9.0,C,Fail
85,69,10,13,59,35,5.4,3.5,5.5,D,Fail
59,19,21,3,55,92,4.9,1.0,8.8,F,Fail
29,75,18,100,61,67,2.0,0.2,9.6,D,Fail
60,20,9,29,23,47,6.0,0.7,8.0,F,Fail
37,66,92,7,28,9,2.0,1.2,5.2,F,Fail
49,39,11,84,15,77,6.6,1.8,8.6,D,Fail
64,21,14,83,66,13,7.3,0.6,5.6,F,Fail
42,36,65,26,44,80,3.6,1.4,7.0,D,Fail
5,94,66,66,96,58,3.6,0.6,9.8,C,Fail
47,55,43,12,3,94,7.9,2.2,6.9,F,Fail
23,88,50,40,28,58,2.4,3.6,7.2,D,Fail
59,17,19,4,17,39,6.3,1.0,4.2,F,Fail
58,62,97,82,61,47,7.4,2.3,8.8,C,Pass
69,58,5,30,93,55,7.8,3.8,7.7,D,Fail
22,91,35,24,6,81,5.3,4.1,7.5,F,Fail
32,78,34,64,62,84,2.0,0.2,4.4,D,Fail
29,37,34,65,45,7,1.8,4.2,7.0,F,Fail
44,28,40,55,87,15,3.2,0.7,4.1,F,Fail
87,12,68,22,61,30,7.5,0.5,4.3,D,Fail
66,25,12,37,21,84,6.1,4.1,8.7,F,Fail
81,67,96,38,19,76,5.0,1.0,5.8,C,Fail
39,35,5,85,69,99,6.6,3.7,4.5,D,Fail
96,17,11,53,90,46,2.5,1.4,4.7,D,Fail
0,92,66,11,27,38,1.9,2.3,5.0,F,Fail
96,10,28,88,12,50,5.7,2.2,9.3,D,Fail
67,2,100,88,40,34,6.7,1.8,5.2,D,Fail
80,75,49,99,73,81,5.0,3.4,6.0,B,Pass
69,53,70,84,50,27,3.7,0.5,6.4,D,Fail
26,26,76,49,28,38,2.0,1.7,5.3,F,Fail
47,21,99,29,27,22,5.8,1.3,4.4,F,Fail
3,64,11,12,33,58,5.1,1.8,4.1,F,Fail
53,1,32,49,6,17,1.7,2.8,4.7,F,Fail
29,58,8,91,67,38,5.7,2.3,9.0,D,Fail
21,60,25,11,31,8,6.0,2.8,10.0,F,Fail
23,88,94,92,68,37,2.6,2.8,4.8,C,Fail
33,41,7,65,20,78,3.9,3.1,8.7,F,Fail
42,15,98,72,34,82,2.7,3.7,9.7,D,Fail
19,0,5,52,45,65,7.0,2.8,4.3,F,Fail
78,44,21,67,16,4,4.2,1.9,6.8,F,Fail
29,41,6,70,90,87,6.2,3.2,5.1,D,Fail
90,5,73,94,24,65,4.5,3.6,6.9,D,Fail
97,70,49,16,10,52,1.8,2.1,8.6,D,Fail
96,61,88,84,75,89,6.6,1.7,5.5,B,Pass
44,28,87,58,14,69,2.6,0.4,5.9,D,Fail
56,63,75,98,37,16,3.7,4.8,8.6,D,Fail
38,1,65,53,28,44,5.9,4.1,6.1,F,Fail
8,26,55,77,44,88,6.6,3.4,6.6,D,Fail
39,25,82,44,44,25,1.4,3.1,4.9,F,Fail
62,12,76,0,39,36,4.5,4.6,7.7,F,Fail
56,12,36,13,74,24,6.0,0.8,4.4,F,Fail
99,41,41,46,43,40,3.1,4.7,5.3,D,Pass
0,78,10,100,6,11,4.6,0.5,8.0,F,Fail
52,89,93,31,99,44,2.9,2.5,5.9,C,Fail
0,20,27,15,47,27,1.3,1.3,5.9,F,Fail
41,97,69,91,2,94,7.9,2.9,4.3,C,Fail
19,31,98,12,42,19,1.6,4.3,7.6,F,Fail
90,59,88,3,95,16,7.4,1.1,9.0,D,Fail
31,37,16,57,39,95,5.8,1.1,6.4,D,Fail
28,84,89,51,91,16,1.9,4.7,8.5,D,Fail
19,52,79,62,56,28,4.3,4.2,5.6,D,Fail
71,70,88,93,97,43,7.4,1.6,9.4,B,Pass
22,52,44,84,91,12,1.2,0.1,7.6,D,Fail
39,69,20,27,2,22,5.9,4.7,6.0,F,Fail
57,91,19,91,92,71,2.9,1.6,9.5,C,Fail
8,3,40,24,33,72,6.3,4.6,7.6,F,Fail
8,79,3,33,6,14,7.8,1.8,7.8,F,Fail
51,80,99,82,6,44,7.2,3.7,7.2,C,Fail
1,28,17,36,44,44,6.4,2.3,9.3,F,Fail
31,17,12,3,22,61,4.6,4.4,9.9,F,Fail
13,97,27,71,79,94,2.4,4.1,8.5,C,Fail
67,8,16,48,62,83,4.8,0.4,6.5,D,Fail
44,52,16,46,61,49,7.3,4.1,6.3,F,Fail
85,71,27,44,40,93,1.5,1.7,6.8,C,Fail
83,32,24,18,46,84,2.3,2.6,8.0,D,Fail
32,41,85,64,94,46,3.3,3.6,7.1,C,Fail
75,50,79,58,71,13,3.2,4.5,5.4,D,Fail
55,48,97,59,52,70,5.7,0.2,4.8,C,Pass
25,38,2,56,9,2,1.6,1.8,9.5,F,Fail
18,99,61,97,56,94,2.7,4.5,8.4,C,Fail
51,83,40,47,90,38,6.2,3.8,7.9,D,Pass
42,80,87,92,45,91,5.2,0.2,5.7,C,Pass
24,40,2,76,94,12,3.2,1.6,8.2,F,Fail
54,51,84,35,53,58,2.3,3.6,8.0,D,Pass
91,10,47,100,91,98,2.7,1.8,8.8,C,Fail
66,30,75,7,88,60,1.1,3.5,5.7,D,Fail
84,89,54,65,13,3,3.7,2.5,6.7,D,Fail
54,70,22,80,11,10,7.5,1.0,7.6,F,Fail
28,61,52,47,99,90,7.6,2.7,5.8,C,Fail
99,47,93,58,70,56,7.7,3.7,4.7,C,Pass
7,86,29,14,73,54,6.9,1.6,6.6,F,Fail
63,25,77,66,35,89,4.6,3.3,7.1,D,Fail
73,72,45,41,17,99,7.4,0.1,6.2,D,Fail
81,6,30,64,94,63,2.8,4.8,8.7,D,Fail
14,20,61,82,27,3,6.3,3.0,9.8,F,Fail
95,66,93,57,83,1,4.7,0.6,7.2,C,Fail
47,9,80,29,34,18,7.0,4.4,5.8,F,Fail
80,5,12,85,74,63,7.0,3.7,6.3,D,Fail
18,46,45,28,98,83,1.4,1.4,8.4,D,Fail
50,62,98,21,70,32,3.4,0.0,7.3,D,Fail
90,1,16,64,57,29,3.3,3.5,4.3,F,Fail
62,74,70,27,24,60,7.8,2.3,8.9,D,Fail
57,33,58,20,55,36,1.5,3.6,7.2,F,Fail
84,77,73,52,70,92,7.5,4.0,9.9,C,Pass
18,74,1,5,28,40,1.7,1.1,7.0,F,Fail
61,99,26,49,81,51,6.1,1.7,9.7,C,Fail
79,53,4,8,33,97,6.3,4.6,8.5,D,Fail
91,84,82,62,66,29,3.5,0.8,8.5,C,Fail
23,43,0,53,51,35,6.4,1.1,5.3,F,Fail
46,28,50,40,85,63,1.1,1.2,6.6,D,Fail
21,98,16,85,4,60,5.4,1.7,8.2,D,Fail
58,96,38,53,47,36,7.7,4.6,4.5,D,Pass
26,87,26,71,62,51,6.8,2.4,5.2,D,Fail
74,94,90,41,47,26,2.0,4.7,9.9,C,Fail
15,35,65,75,90,55,6.2,4.8,4.7,D,Fail
7,17,17,17,1,75,7.8,2.6,9.0,F,Fail
13,25,46,29,55,41,5.4,3.7,6.2,F,Fail
66,36,1,11,20,68,2.8,0.4,7.0,F,Fail
99,61,85,92,72,89,2.0,4.8,7.0,B,Pass
67,13,92,13,8,72,6.8,4.4,7.9,F,Fail
67,59,2,92,24,20,4.8,4.5,4.2,F,Fail
45,47,6,9,14,39,7.6,4.8,9.3,F,Fail
12,26,80,49,60,12,5.4,4.9,8.1,F,Fail
7,23,74,38,32,41,4.2,1.9,8.7,F,Fail
36,18,50,99,33,70,4.0,1.4,7.5,D,Fail
95,65,85,47,39,23,5.0,3.0,4.1,D,Fail
82,54,33,96,69,59,4.4,1.5,5.0,C,Pass
33,15,81,17,37,42,1.0,2.0,7.8,F,Fail
17,70,39,87,77,49,2.8,0.5,5.6,D,Fail
21,73,89,78,37,48,3.1,3.3,7.9,D,Fail
34,59,61,86,45,82,4.4,4.6,6.9,C,Pass
88,25,34,56,78,62,6.5,2.6,5.5,D,Fail
64,21,10,36,89,50,3.5,4.1,7.0,D,Fail
50,22,89,90,8,45,5.0,1.0,7.6,D,Fail
96,49,66,40,28,36,1.0,2.6,6.4,D,Fail
49,70,78,5,17,18,1.2,2.2,8.1,F,Fail
88,99,53,48,27,37,4.1,4.9,4.3,D,Fail
35,86,65,9,69,71,2.3,2.9,6.9,D,Fail
97,19,32,14,6,87,1.3,4.4,6.1,F,Fail
87,74,62,20,78,78,3.8,0.1,9.5,C,Fail
83,32,2,86,43,86,5.9,1.8,9.3,D,Fail
7,61,17,91,27,74,6.8,0.6,6.2,D,Fail
3,40,44,33,86,12,1.9,2.4,4.5,F,Fail
46,36,97,47,28,36,1.4,1.1,5.6,D,Fail
51,39,10,77,1,34,1.6,4.3,4.9,F,Fail
71,31,67,70,38,47,7.2,0.9,7.8,D,Fail
3,22,13,4,65,23,1.1,1.2,6.5,F,Fail
17,3,32,77,41,31,5.7,1.0,7.7,F,Fail
66,88,67,61,57,46,4.9,4.6,6.0,C,Pass
39,76,22,51,3,36,5.0,4.6,4.2,F,Fail
41,28,100,18,83,31,6.9,3.0,9.9,D,Fail
75,44,20,77,100,21,1.1,3.7,5.6,D,Fail
93,81,51,64,38,80,2.8,1.1,4.4,C,Pass
53,94,14,52,71,69,7.8,3.3,7.1,D,Fail
